date,hour,day_of_week,month,zone,total_slots,occupied,available,occupancy_pct,is_weekend,is_semester
2025-01-01,6,2,1,A,15,6,9,44.2,0,1
2025-01-01,6,2,1,B,15,5,10,33.9,0,1
2025-01-01,6,2,1,C,15,5,10,36.7,0,1
2025-01-01,6,2,1,D,15,6,9,40.2,0,1
2025-01-01,7,2,1,A,15,5,10,38.4,0,1
2025-01-01,7,2,1,B,15,4,11,33.1,0,1
2025-01-01,7,2,1,C,15,6,9,44.1,0,1
2025-01-01,7,2,1,D,15,5,10,34.1,0,1
2025-01-01,8,2,1,A,15,14,1,94.0,0,1
2025-01-01,8,2,1,B,15,13,2,89.3,0,1
2025-01-01,8,2,1,C,15,10,5,72.8,0,1
2025-01-01,8,2,1,D,15,9,6,64.3,0,1
2025-01-01,9,2,1,A,15,14,1,98.0,0,1
2025-01-01,9,2,1,B,15,10,5,69.7,0,1
2025-01-01,9,2,1,C,15,9,6,62.7,0,1
2025-01-01,9,2,1,D,15,9,6,63.5,0,1
2025-01-01,10,2,1,A,15,13,2,89.6,0,1
2025-01-01,10,2,1,B,15,13,2,87.5,0,1
2025-01-01,10,2,1,C,15,10,5,69.2,0,1
2025-01-01,10,2,1,D,15,8,7,56.7,0,1
2025-01-01,11,2,1,A,15,14,1,98.0,0,1
2025-01-01,11,2,1,B,15,10,5,73.2,0,1
2025-01-01,11,2,1,C,15,10,5,68.0,0,1
2025-01-01,11,2,1,D,15,7,8,48.6,0,1
2025-01-01,12,2,1,A,15,12,3,81.9,0,1
2025-01-01,12,2,1,B,15,11,4,75.9,0,1
2025-01-01,12,2,1,C,15,8,7,58.3,0,1
2025-01-01,12,2,1,D,15,9,6,63.0,0,1
2025-01-01,13,2,1,A,15,12,3,81.4,0,1
2025-01-01,13,2,1,B,15,10,5,72.7,0,1
2025-01-01,13,2,1,C,15,9,6,62.7,0,1
2025-01-01,13,2,1,D,15,11,4,74.8,0,1
2025-01-01,14,2,1,A,15,12,3,80.4,0,1
2025-01-01,14,2,1,B,15,9,6,61.5,0,1
2025-01-01,14,2,1,C,15,10,5,69.6,0,1
2025-01-01,14,2,1,D,15,6,9,46.2,0,1
2025-01-01,15,2,1,A,15,12,3,82.2,0,1
2025-01-01,15,2,1,B,15,8,7,54.3,0,1
2025-01-01,15,2,1,C,15,7,8,52.4,0,1
2025-01-01,15,2,1,D,15,8,7,57.6,0,1
2025-01-01,16,2,1,A,15,12,3,86.4,0,1
2025-01-01,16,2,1,B,15,10,5,71.4,0,1
2025-01-01,16,2,1,C,15,9,6,62.1,0,1
2025-01-01,16,2,1,D,15,8,7,53.6,0,1
2025-01-01,17,2,1,A,15,8,7,57.2,0,1
2025-01-01,17,2,1,B,15,8,7,54.2,0,1
2025-01-01,17,2,1,C,15,7,8,50.3,0,1
2025-01-01,17,2,1,D,15,8,7,56.5,0,1
2025-01-01,18,2,1,A,15,10,5,71.7,0,1
2025-01-01,18,2,1,B,15,6,9,45.9,0,1
2025-01-01,18,2,1,C,15,8,7,56.6,0,1
2025-01-01,18,2,1,D,15,6,9,44.9,0,1
2025-01-01,19,2,1,A,15,9,6,63.6,0,1
2025-01-01,19,2,1,B,15,9,6,64.9,0,1
2025-01-01,19,2,1,C,15,9,6,62.2,0,1
2025-01-01,19,2,1,D,15,8,7,55.5,0,1
2025-01-01,20,2,1,A,15,3,12,22.0,0,1
2025-01-01,20,2,1,B,15,3,12,22.5,0,1
2025-01-01,20,2,1,C,15,3,12,25.2,0,1
2025-01-01,20,2,1,D,15,4,11,27.8,0,1
2025-01-01,21,2,1,A,15,3,12,24.9,0,1
2025-01-01,21,2,1,B,15,3,12,23.5,0,1
2025-01-01,21,2,1,C,15,2,13,13.6,0,1
2025-01-01,21,2,1,D,15,1,14,10.4,0,1
2025-01-02,6,3,1,A,15,7,8,46.8,0,1
2025-01-02,6,3,1,B,15,6,9,45.8,0,1
2025-01-02,6,3,1,C,15,4,11,30.9,0,1
2025-01-02,6,3,1,D,15,5,10,36.0,0,1
2025-01-02,7,3,1,A,15,6,9,43.1,0,1
2025-01-02,7,3,1,B,15,4,11,29.8,0,1
2025-01-02,7,3,1,C,15,5,10,34.4,0,1
2025-01-02,7,3,1,D,15,6,9,40.3,0,1
2025-01-02,8,3,1,A,15,14,1,97.5,0,1
2025-01-02,8,3,1,B,15,14,1,97.5,0,1
2025-01-02,8,3,1,C,15,8,7,55.5,0,1
2025-01-02,8,3,1,D,15,11,4,74.6,0,1
2025-01-02,9,3,1,A,15,14,1,98.0,0,1
2025-01-02,9,3,1,B,15,12,3,82.6,0,1
2025-01-02,9,3,1,C,15,11,4,77.2,0,1
2025-01-02,9,3,1,D,15,7,8,52.1,0,1
2025-01-02,10,3,1,A,15,14,1,96.0,0,1
2025-01-02,10,3,1,B,15,13,2,87.9,0,1
2025-01-02,10,3,1,C,15,13,2,88.3,0,1
2025-01-02,10,3,1,D,15,9,6,63.9,0,1
2025-01-02,11,3,1,A,15,11,4,79.8,0,1
2025-01-02,11,3,1,B,15,10,5,71.0,0,1
2025-01-02,11,3,1,C,15,11,4,74.8,0,1
2025-01-02,11,3,1,D,15,9,6,62.6,0,1
2025-01-02,12,3,1,A,15,12,3,82.0,0,1
2025-01-02,12,3,1,B,15,11,4,79.1,0,1
2025-01-02,12,3,1,C,15,10,5,68.3,0,1
2025-01-02,12,3,1,D,15,10,5,67.7,0,1
2025-01-02,13,3,1,A,15,12,3,80.6,0,1
2025-01-02,13,3,1,B,15,10,5,72.4,0,1
2025-01-02,13,3,1,C,15,9,6,64.4,0,1
2025-01-02,13,3,1,D,15,7,8,48.3,0,1
2025-01-02,14,3,1,A,15,12,3,82.9,0,1
2025-01-02,14,3,1,B,15,10,5,72.1,0,1
